cat_race_ed_age,nLx
Lb1_0,286188
Lb1_5,224755
Lb1_10,211082
Lb1_15,197355
Lb1_20,181123
Lb1_25,163593
Lb1_30,145842
Lb1_35,128308
Lb1_40,111728
Lb1_45,96459
Lb2_0,302932
Lb2_5,244586
Lb2_10,231061
Lb2_15,217375
Lb2_20,201066
Lb2_25,183300
Lb2_30,165133
Lb2_35,146987
Lb2_40,129594
Lb2_45,113319
Lb3_0,345975
Lb3_5,297310
Lb3_10,284923
Lb3_15,272131
Lb3_20,256565
Lb3_25,239235
Lb3_30,221079
Lb3_35,202427
Lb3_40,183918
Lb3_45,165484
Lb4_0,401302
Lb4_5,368415
Lb4_10,359120
Lb4_15,349230
Lb4_20,336800
Lb4_25,322539
Lb4_30,307131
Lb4_35,290708
Lb4_40,273585
Lb4_45,255751
Lb5_0,436487
Lb5_5,415788
Lb5_10,409459
Lb5_15,402445
Lb5_20,393143
Lb5_25,382150
Lb5_30,370059
Lb5_35,356890
Lb5_40,342620
Lb5_45,326868
Lw1_0,358423
Lw1_5,312996
Lw1_10,301145
Lw1_15,288829
Lw1_20,273746
Lw1_25,256847
Lw1_30,239020
Lw1_35,220558
Lw1_40,202046
Lw1_45,183737
Lw2_0,391479
Lw2_5,355535
Lw2_10,345557
Lw2_15,335002
Lw2_20,321825
Lw2_25,306795
Lw2_30,290646
Lw2_35,273552
Lw2_40,255899
Lw2_45,237756
Lw3_0,427946
Lw3_5,403919
Lw3_10,396763
Lw3_15,389000
Lw3_20,379009
Lw3_25,367341
Lw3_30,354531
Lw3_35,340596
Lw3_40,325613
Lw3_45,309320
Lw4_0,458227
Lw4_5,446125
Lw4_10,442054
Lw4_15,437407
Lw4_20,431059
Lw4_25,423362
Lw4_30,414655
Lw4_35,404800
Lw4_40,393503
Lw4_45,380112
Lw5_0,464829
Lw5_5,455230
Lw5_10,451875
Lw5_15,447994
Lw5_20,442612
Lw5_25,436017
Lw5_30,428482
Lw5_35,419831
Lw5_40,409690
Lw5_45,397315
